ID,香烟品类,香烟地域,香烟品牌,名称,品牌:,类型:,焦油:,焦油高低:,烟碱:,一氧化碳:,长度:,过滤嘴长:,周长:,包装形式:,主颜色:,副颜色:,条装盒数:,每盒数量:,小盒价格:,条装价格:,小盒条码:,条装条码:
205,传统烟,大陆,林海灵芝,林海灵芝(软红),林海灵芝,混合型,15mg,,1.2mg,15mg,84mm,20mg,25mg,纸质软包,红色,棕色,,20,￥2元,￥18元,6901028103114,6901028103121
206,传统烟,大陆,长城,长城(骑士·国际原味)10支装,长城,,,中,,,,,35mm,纸质硬盒,,,,,￥60元,,6901028033732,,雪茄,半机制雪茄,100mm,11.41mm,28环,10,10,￥600元,6901028033749
207,传统烟,国外,ARK ROYAL,船长(特级)??船长,ARK ROYAL,外香型,10mg,,,,,20mg,,纸质软包,红,金,,20,￥10元,￥100元,77332691,,,,,,,,,,
208,传统烟,大陆,黄鹤楼,黄鹤楼(包头),黄鹤楼,烤烟型,10mg,,1.0mg,10mg,84mm,,,纸质硬盒,金,棕,,20,￥45元,￥450元,6901028179317,,,,,,,,,,
209,传统烟,大陆,钻石,钻石(银玉兰),钻石,烤烟型,11mg,,0.9mg,11mg,84mm,25mg,,纸质硬盒,银,红,,20,￥7元,￥70元,6901028077187,6901028077217,,,,,,,,,
210,传统烟,大陆,双喜,双喜(软红五叶神)旧版,双喜,烤烟型,11mg,,1.1mg,12mg,84mm,,,纸质软包,红,金,,20,￥33元,￥330元,6901028002998,6901028003001,,,,,,,,,
211,传统烟,大陆,林海灵芝,林海灵芝(硬白),林海灵芝,混合型,10mg,,0.9mg,13mg,84mm,25mg,25mg,纸质硬盒,白,蓝,,20,￥3元,￥30元,6901028103749,6901028103756,,,,,,,,,
212,传统烟,大陆,林海灵芝,林海灵芝(硬红),林海灵芝,烤烟型,12mg,,1.1mg,13mg,84mm,25mg,25mg,纸质硬盒,红色,银色,,20,￥6元,￥55元,6901028103824,6901028103831,,,,,,,,,
213,传统烟,大陆,黄鹤楼,黄鹤楼(硬全盛),黄鹤楼,烤烟型,12mg,,1.1mg,13mg,84mm,30mg,,纸质硬盒,灰白,棕,,20,￥35元,￥300元,6901028179317,,,,,,,,,,
214,传统烟,大陆,林海灵芝,林海灵芝(软白),林海灵芝,混合型,8mg,,0.7mg,10mg,84mm,20mg,25mg,纸质软包,白,黑,,20,￥3元,￥30元,6901028103176,6901028103183,,,,,,,,,
215,传统烟,,,公主,,烤烟型,18mg,,1.0mg,,,,,,,,,,,,,,,,,,,,,,
216,传统烟,,,翻盖白公主,,烤烟型,,,,,,,,,,,,,,,,,,,,,,,,,
217,传统烟,,,衮雪,,烤烟型,,,,,,,,,,,,,,,,,,,,,,,,,
218,传统烟,,,汉王,,烤烟型,18mg,,1.0mg,,,,,,,,,,,,,,,,,,,,,,
219,传统烟,,,军星,,烤烟型,,,,,,,,,,,,,,,,,,,,,,,,,
220,传统烟,,,军星(迷彩),,烤烟型,,,,,,,,,,,,,,,,,,,,,,,,,
222,传统烟,,,阿房宫,,烤烟型,,,,,,,,,,,,,,,,,,,,,,,,,
223,传统烟,,,红玉,,烤烟型,18mg,,1.0mg,,,,,,,,,,,,,,,,,,,,,,
224,传统烟,大陆,利群,利群(阳光),利群,烤烟型,8mg,,0.8mg,10mg,84mm,34mm,25mg,纸质硬盒,咖啡,银,10,20,￥50元,￥500元,6901028117333,6901028117340,,,,,,,,,
225,传统烟,大陆,利群,利群(软长嘴)??软阳光,利群,烤烟型,11mg,,1.1mg,11mg,84mm,30mg,25mg,纸质软包,褐,金,,20,￥36元,￥360元,6901028120692,6901028120708,,,,,,,,,
226,传统烟,大陆,利群,利群(长嘴AUS),利群,烤烟型,15mg,,1.3mg,,84mm,30mg,25mg,纸质硬盒,红,黄,,20,￥20元,￥200元,6901028120012,,,,,,,,,,
227,传统烟,大陆,利群,利群(软红长嘴),利群,烤烟型,11mg,,1.1mg,11mg,84mm,30mg,25mg,纸质软包,红,淡黄,10,20,￥26元,￥260元,6901028207492,6901028207508,,,,,,,,,
